strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,40,3937.57,38.06,2938.75,99.2,200.0,0.0
random,0.05,201,3761.0,54.77,2782.11,107.7,200.0,0.0
random,0.1,403,3539.13,77.55,2596.0,117.47,200.0,0.0
random,0.15,605,3316.6,94.46,2404.82,126.72,200.0,0.0
random,0.2,807,3091.73,97.94,2218.52,124.56,200.0,0.0
degree,0.01,40,3830.94,38.79,2636.64,116.3,200.0,0.0
degree,0.05,201,3649.54,40.4,2482.92,112.5,200.0,0.0
degree,0.1,403,3424.28,60.42,2235.64,119.85,200.0,0.0
degree,0.15,605,2921.31,208.0,1897.14,169.89,200.0,0.0
degree,0.2,807,2729.45,191.59,1729.14,148.42,200.0,0.0
betweenness,0.01,40,2798.33,474.81,2041.83,341.83,200.0,0.0
betweenness,0.05,201,2163.54,564.26,1475.19,381.36,200.0,0.0
betweenness,0.1,403,1930.69,490.97,1311.68,340.6,200.0,0.0
betweenness,0.15,605,1754.47,427.08,1197.66,308.91,200.0,0.0
betweenness,0.2,807,1508.88,407.64,973.21,263.98,200.0,0.0
community_bridge,0.01,40,3858.03,126.63,2691.9,176.58,200.0,0.0
community_bridge,0.05,201,2542.99,626.96,1698.71,411.07,200.0,0.0
community_bridge,0.1,403,2047.29,525.17,1361.96,334.87,200.0,0.0
community_bridge,0.15,605,1584.6,396.18,1063.44,277.52,200.0,0.0
community_bridge,0.2,807,1333.47,369.37,902.66,251.79,200.0,0.0
stratified,0.01,40,3772.18,44.34,2558.05,111.21,200.0,0.0
stratified,0.05,201,3394.6,131.5,2238.78,140.47,200.0,0.0
stratified,0.1,403,3164.64,132.1,1949.09,124.35,200.0,0.0
stratified,0.15,605,2700.88,278.07,1733.57,149.69,200.0,0.0
stratified,0.2,807,2118.88,439.22,1307.8,279.35,200.0,0.0
